Id,Community
commitment2action,0
shero,0
2030now,0
inspiredyouth,0
climatestrikepakistan,0
climatestrikeaz,0
climatestrikephx,0
climatestrikephoenix,0
العمل_لأجل_المناخ,0
climatestrikenyc,0
climatestrikedc,0
climateactionp,0
climatestrikesf,0
onealbuquerque,0
greenaf,0
climatetruth,0
girlsgetequal,0
puertooctaysinagua,0
keepitwild,0
faithsforfuture,0
greenunison,0
nuevayork,0
youthstrike4climatehuddersfield,0
teach4climate,0
oilcompanies,0
oilbusiness,0
eugreendeal,0
再生可能エネルギー,0
気候正義,0
pcilist,0
resistanceunited,0
fresh,0
onev1,0
borisjohnson,0
standwithukraine,0
australiabushfires,0
climatefires,0
peopleandplanet,0
activistabd,0
bagladesh,0
angola,0
1point5,0
action,0
g7,0
climaterightsnow,0
climatepeace,0
rainy,0
belgium,0
generationrestoration,0
fathersday2022,0
beingadad,0
dontlookup,0
environmentalracism,0
flashflood,0
sylhet,0
dayoftheafricanchild,0
freemint,0
röstförrättvisa,0
savegoldensands,0
listentothescience,0
voteclimate,0
ipcc,0
codered,0
madarakaday,0
climateactionclub,0
saveourburningforests,0
sdg,0
canyouhearusyet,0
ecosystems,0
fffnigeria,0
auspol,0
ausvotes,0
globalwarmingmatters,0
mothersday,0
moreofus,0
niunamenos,0
savesoilamman,0
riseupmovt,0
globalextinction,0
fridayswithrakkidol,0
earthovershootday,0
investinourplanet,0
earthday22,0
togetherforourplanet,0
climatesign,0
natureconnection,0
tbthursday,0
savesoilatun,0
census,0
timecapsule,0
emergenzaclimatica,0
planetoverprofit,0
freeukraine,0
peacenotwar,0
crisiclimatica,0
fffke,0
up,0
fridaysforforests,0
votethemout,0
clmateactionnow,0
nomoreblahblahblah,0
swedish,0
seriousness,0
urgency,0
stormeunice,0
stormdudley,0
stormfff,0
youth4climate,0
litteraction,0
ottawaoccupied,0
freedomconvoy2022,0
greenhousegases,0
strikeforclimate,0
justlookup,0
lnpfail,0
actonclimatevic,0
faiths4climate,0
turnthetide,0
wedonthavetime,0
stopblaming,0
climatemarchkarachi,0
calamity,0
amazon,0
politicians,0
industrialists,0
cambo,0
knittingnannas,0
deforestation,0
eternals,0
dinnaedawdle,0
viernesporelfuturo,0
5300climate,0
cl,0
climatelive2021,0
theyoutharerising,0
endclimatesilence,0
ilmastoisovanhemmat,0
gdp,0
scottmorrison,0
nowornever,0
wtpblue,0
scotland,0
climatedisasters,0
bristol,0
grevepourleclimat,0
crisisclimatica,0
scioperoperilclima,0
ipccreport2021,0
savebuxwaha,0
hurricane,0
newprofilepic,0
thereisnoplaneb,0
stopthesame,0
polluters,0
nofutureinfossilfuels,0
pollutersoutpeoplein,0
justtransitionnow,0
gurgaon,0
haryana,0
fossilfules,0
weekthisone,0
injustice,0
countdowntocop,0
stopclearcuts,0
stopline3pipeline,0
forestfires,0
greeceisburning,0
napoli,0
algae,0
bari,0
climatelaw,0
heatwave2021,0
onlineclimatestrike,0
gurugram,0
savelakshadweep,0
generationonfire,0
sunrisemovement,0
dunfermline,0
fightfor1point,0
carbonsinks,0
stayhomestaysafe,0
fridaysforfutureitaly,0
fridaysforfutureitalia,0
libri,0
savetheworld,0
climategrandparents,0
cornwall,0
forthroadbridge,0
queensferrycrossing,0
stopthegreenwash,0
uganda,0
globaltemperaturerise,0
localelections,0
justrecovery,0
makeirelandgreenagain,0
savecongoforest_flora_fauna,0
northernireland,0
parisionayla,0
nonewcoal,0
staysafe,0
climateactnow,0
nocoalforourfuture,0
happynewyear2021,0
newyear,0
banplasticug,0
hope,0
hedef1bucuk,0
eu2030,0
repairdontthrow,0
repairdontgiveup,0
dontbuyswap,0
bidentransition,0
istandwithgreata,0
yyj,0
delhi,0
airquality,0
sosamazonia,0
klimaatverandering,0
southafrica,0
greenrecoveryni,0
naturecrisis,0
peoplecrisis,0
extinctionthefacts,0
wildfires2020,0
climatered,0
hatayyanıyor,0
californiafires,0
savetheamazon,0
climteemergency,0
bolsonaro,0
stayhomesavelives,0
climatestrikecr,0
showyourstripes,0
blogger,0
covid__19,0
mentalhealthmatters,0
pfg,0
eia2020,0
trashchallenge,0
chapelhill,0
eu2020decarbonise,0
kletterkinder,0
радиприроды,0
klimacoronadeal,0
th3_end_is_nye,0
kuzeyormanlarınıkoru,0
kazdağlarınıkoru,0
laborday,0
labourday2020,0
workersday,0
mission1point5,0
euclimatedeal,0
stayinghome,0
talksforfuture,0
coronaviruspandemic,0
silentstrike,0
aotearoa,0
futureisgreen,0
iwd2020,0
grandparentsforfuture,0
unprecedentedchangenow,0
eustaff4climate,0
climateresiliency,0
healthcrisis,0
fridaysforfuturehealth,0
beatairpollution,0
climatejusticeforafrica,0
perjantaitgretankanssa,0
gretathunbergnobelprize,0
climatechangehoax,0
australiaburning,0
climateparliament,0
nederland,0
everybodynow,0
pis,0
truenorth,0
australianbushfire,0
australianbushfiresdisaster,0
australiaisburning,0
australiafire,0
2020newyear,0
happynewyear2020,0
mallacoota,0
anxiety,0
bsbots,0
ecologicalcrisis,0
actforchange,0
santa,0
firemorrison,0
nswfires,0
firedrillfrifay,0
wearewatching,0
takeittothestreets,0
climatesrike,0
writer,0
humanrightsjusticeforall,0
ilmastoisoäiti,0
climatehealthemergency,0
studentstrike,0
6dmarchaporelclima,0
siwiatcop,0
artivism,0
artforchange,0
makemyfriday,0
november29,0
massextinction,0
cleanairisaright,0
actlikeit,0
deepstrike,0
cumbresblancas,0
glaciers,0
climatesafety,0
climatevoters,0
katar,0
internationalrebellion,0
saveaarey,0
intersectional,0
grandparentforfuture,0
coveringclimatenow,0
climatestrikemontreal,0
barcelona,0
impeachtrump,0
pelosi,0
alternativenobel,0
merkeltellthetruth,0
greta4nobelprize,0
20septiembre,0
notmytaxonomy,0
stopjackdaw,0
byebyebojo,0
sunlituplands,0
fffmapa,0
uniclimatestrike,0
peopleforfuture,0
plasticban,0
plogrun,0
swapnafoundation,0
riccardo,0
agorarai,0
6luglio,0
taxonomy,0
eutaxonomie,0
donaucleanup,0
ukraine,0
ghgemissions,0
dublin,0
youth4tpnw,0
قلة_التساقطات_في_العالم_العربي,0
movement,0
agra,0
unep,0
nupes,0
giec,0
g7showusthemoney,0
noemptypromises,0
stopfundingfossilfuel,0
debtforclimate,0
twift,0
tippingpoints,0
nuclearbanweek,0
stopfakerenewables,0
cleanup,0
riscaldamentoglobale,0
石炭火力発電を増やすって本当ですか,0
世界気候アクション,0
sommerwetter,0
stokholm50,0
coalcompanies,0
gascompanies,0
stopfinancingfossilfuels,0
glasgowschoolstrike,0
communityawareness,0
communityengagement,0
sundaysforfuture,0
hildesheim,0
wortzumsonntag,0
sozialekipppunkte,0
saveforests,0
letafgangirlslearn,0
sudbury,0
rp22,0
cleanenergysolutionswork,0
educategirls,0
fridaysforstonepelting,0
sebastianvettel,0
educategirlsforclimate,0
地球のために投票しよう,0
fridaysforfuturejhansi,0
girls,0
riseuptogetherfromdrought,0
ddday,0
strikeforclimatepeace,0
climatestrikeforpeace,0
week87,0
chafrica,0
savesoilbharat,0
naturalgas,0
katemarvel,0
wagenknecht,0
cimatejustice,0
peoplenotprofits,0
blablabla,0
healthyplanetsklm50,0
healthyplanetstklm50,0
heathyplanetstklm50,0
smrjs,0
worldbicycleday,0
narrowwindow,0
pride,0
klimat,0
eusummit,0
maizittiebuoni,0
bracebridge,0
votegreen,0
ontariogreens,0
greatersudbury,0
love__diary,0
f4fystrikers,0
climate_strike,0
there_is_no_planet_b,0
week31,0
day16,0
ldc,0
girls4climateaction,0
proveuswrong,0
lifeofanactivist,0
punjab,0
week86,0
mothernature,0
basra,0
iraq,0
herempire,0
mannheim,0
statecapture,0
nationalbikeweek,0
worldbeeday2022,0
wettribe,0
followbackclimate,0
showusthemoneynow,0
endfossilfinance,0
lossanddamagefinance,0
financenotpromises,0
equity,0
bansoffourbodies,0
soilhealth,0
anyway,0
standupforjustice,0
loveourhome,0
week85,0
arinabila,0
economists4future,0
miamigp,0
actnoworswimlater,0
day13,0
wattenmeer,0
sosyanomami,0
holzbergretten,0
planetnotprofit,0
breakfreefromplastic,0
followthemoneyke,0
novelentites,0
greenwater,0
savesalla,0
lismorefloods,0
fossilfools,0
amawithsadhguru,0
savesoilmovement,0
cliamteemergency,0
election2022,0
postmittelalter,0
kenosha,0
wynnbruce,0
weatherupdate,0
arborday,0
nomorefossilfuels,0
endfossilsandwars,0
endallfossilfuels,0
stopfuellingwar,0
velvia,0
theworldneedsmoresudbury,0
noplanateb,0
kibaro,0
youthnet,0
ynetartcontest2022,0
artchallenge,0
earthdayriseupmovement,0
internationalearthday,0
war,0
stopputin,0
getvaxxed,0
virtualstrike,0
birthdaystrike,0
isrealiapartheidweek,0
freepalaestine,0
vanessa_vash,0
windkraftbremse,0
zukunftsrisikocsu,0
recycling,0
1komma5,0
defuelrussiaswar,0
webofpen,0
nftart,0
stoprussia,0
stromhandel,0
exportüberschuss,0
fffsolidaritywithsudan,0
sealevels,0
ourplanetourhealth,0
ripericboehlert,0
svazek,0
klimahysteriker,0
stopsumitomo,0
ourenvironmentmatterstoo,0
dylanobrien,0
foodforfuture,0
edinburgh,0
netzero2030,0
thinkglobalactlocal,0
cloppenburg,0
vechta,0
weilburg,0
dreadlocks,0
ronjamaltzahn,0
ac2503,0
actionaid_bangladesh,0
climate_justice,0
climate_march,0
fossilfuelssuck,0
pessoasnãolucro,0
globalstrikeforclimate,0
seattle,0
vidacontracapital,0
orlando,0
natoclosetheskyinukraine,0
tibetclimatecrisis,0
brescia,0
fridayforfuturebrescia,0
savewolflake,0
lugreenspace,0
standwithsapmi,0
nomineingallok,0
citiesarelistening,0
dontfuelwar,0
rastalocken,0
priebshow,0
kulturelleaneignung,0
cgil,0
alexsaab,0
alexgozadeinmunidad,0
decolonizeclimatejustice,0
climatebarbage,0
reparations,0
matarbari,0
rassisten,0
schwarwel,0
blockwart,0
fffhannover,0
weiße,0
unige,0
unigenova,0
aneignung,0
carolarackete,0
haare,0
klimasteik,0
fremdenfeindlichkeit,0
baerbelbas,0
emiliafester,0
hitzeforum,0
woke,0
extremismi,0
