Source,Target,Count
schoolstrike4climate,nomoreemptysummits,3
climateactionnow,disharavi,3
climatestrike,blackfriday,3
climatestrike,votethiscapdown,3
cop26,allefür1komma5,3
climatestrike,endfossilfuels,3
climatestrike,fridaymotivation,3
makeparisreal,klimawahl,3
glasgow,globalstrike,3
facetheclimateemergency,friday,3
schoolstrike4climate,allefür1komma5,3
climatestrike,nomoreblahblahblah,3
facetheclimateemergency,endfossilfuels,3
facetheclimateemergency,страйкзаклімат,3
cop26,withdrawthecap,3
climatestrike,friday,3
facetheclimateemergency,cop26glasgow,3
facetheclimateemergency,klimastreik,3
climatestrike,fridayfeeling,3
climatestrike,fridaymorning,3
climatechange,bundestagswahl21,3
climatechange,globalstrike,3
fff,globalstrike,3
extinctionrebellion,allefür1komma5,3
extinctionrebellion,climatejusticenow,3
extinctionrebellion,actnow,3
klimakrise,cleanupstandardchartered,3
extinctionrebellion,fightfor1point5,3
extinctionrebellion,bundestagswahl,3
climateactionnow,unitebehindthescience,3
extinctionrebellion,fff,3
climateactionnow,rt,3
climateactionnow,anotherworldispossible,3
klimakrise,klimawahl,3
facetheclimateemergency,theworldiswatching,3
climateactionnow,pride,3
страйкзаклімат,withdrawthecap,3
climateactionnow,cleanupstandardchartered,3
makeparisreal,cleanupstandardchartered,3
extinctionrebellion,ff,3
schoolstrike4climate,gogreen,3
schoolstrike4climate,pride,3
climatechange,gogreen,3
klimakrise,ff,3
climatechange,pride,3
extinctionrebellion,facetheclimateemergency,3
endfossilfuels,klimawahl,3
extinctionrebellion,klimastreik,3
extinctionrebellion,berlin,3
makeparisreal,endfossilfuels,3
climateactionnow,globalstrike,3
extinctionrebellion,glasgow,3
climateactionnow,allefür1komma5,3
climateactionnow,fridaythoughts,3
klimakrise,unitebehindthescience,3
extinctionrebellion,nomoreblahblahblah,3
klimakrise,globalclimatestrike,3
endfossilfuels,cleanupstandardchartered,3
climateactionnow,klimawahl,3
climateactionnow,bundestagswahl,3
страйкзаклімат,cleanupstandardchartered,3
extinctionrebellion,blackfriday,3
klimakrise,bundestagswahl,3
climateactionnow,nomoreemptysummits,3
climateactionnow,laschet,3
climateactionnow,precop26,3
climateactionnow,withdrawthecap,3
makeparisreal,neubauer,3
klimakrise,laschet,3
climateactionnow,greta,3
cop26,klimawandel,3
climatechange,ff,3
cop26,co2,3
cop26,страйкзаклімат,3
cop26,blackfriday,3
climatechange,nomoreemptysummits,3
klimakrise,страйкзаклімат,3
cop26,votethiscapdown,3
climateactionnow,klimastreik,3
climateactionnow,climatejusticenow,3
climateactionnow,actnow,3
climateactionnow,climate,3
cop26,endfossilfuels,3
extinctionrebellion,anotherworldispossible,3
climatechange,allefür1komma5,3
cop26,nomoreblahblahblah,3
climateactionnow,greennewdeal,3
climateactionnow,extinctionrebellion,3
climateactionnow,co2,3
climateactionnow,klimawandel,3
klimakrise,neubauer,3
klimakrise,cop26glasgow,3
klimakrise,makeparisreal,3
cop26,greta,3
страйкзаклімат,raiseyourstandards,3
klimakrise,allefür1komma5,3
climateactionnow,makeparisreal,3
climateactionnow,fridaymotivation,3
climatechange,anotherworldispossible,3
climateactionnow,fridaymorning,3
climateactionnow,fridayfeeling,3
cop26,riseupmovement,3
climateactionnow,glasgow,3
climateactionnow,friday,3
cop26,actnow,3
climateactionnow,nomoreblahblahblah,3
endfossilfuels,withdrawthecap,3
climateactionnow,endfossilfuels,3
glasgow,greta,3
klimakrise,nomoreblahblahblah,3
climateactionnow,votethiscapdown,3
klimakrise,endfossilfuels,3
climateactionnow,страйкзаклімат,3
schoolstrike4climate,anotherworldispossible,3
cop26,makeparisreal,3
climateactionnow,neubauer,3
climateactionnow,cop26glasgow,3
cop26,neubauer,3
friday,globalclimatestrike,3
cop26,raiseyourstandards,3
climatecrisis,gogreen,3
schoolstrike4climate,ilmastolakko,3
climateemergency,berlin,3
schoolstrike4climate,votethiscapdown,3
schoolstrike4climate,blackfriday,3
climateemergency,unitebehindthescience,3
climatestrike,anotherworldispossible,3
climateemergency,bundestagswahl,3
climateemergency,precop26,3
climateemergency,keepitintheground,3
climateemergency,bundestagswahl21,3
climatejustice,klimastreik,3
climateemergency,globalstrike,3
climatestrike,pride,3
climatejustice,climatejusticenow,3
climatejusticenow,glasgow,3
climatejustice,climate,3
climatejusticenow,nomoreblahblahblah,3
climatestrike,gogreen,3
fridays4future,blackfriday,3
climateemergency,ff,3
fridays4future,votethiscapdown,3
nordstream2,raiseyourstandards,3
fightfor1point5,anotherworldispossible,3
schoolstrike4climate,nomoreblahblahblah,3
climatejusticenow,bundestagswahl,3
climateemergency,fridaymotivation,3
climateemergency,actonclimate,3
fridays4future,klimakrise,3
climatejusticenow,allefür1komma5,3
fridays4future,co2,3
climateemergency,blackfriday,3
climateemergency,votethiscapdown,3
climatejusticenow,ff,3
climatejustice,glasgow,3
climateemergency,endfossilfuels,3
climateemergency,nomoreblahblahblah,3
fridays4future,klimastreik,3
fridays4future,actnow,3
fridays4future,climatejusticenow,3
climateemergency,friday,3
fridays4future,facetheclimateemergency,3
climateemergency,fridayfeeling,3
climateemergency,fridaymorning,3
climatejusticenow,bundestagswahl21,3
climatejustice,endfossilfuels,3
schoolstrike4climate,friday,3
schoolstrike4climate,ilmastokriisi,3
climatejusticenow,cop26glasgow,3
climatecrisis,pride,3
