Id,Count,Named,Original
lesezeichen,236,unamed,lesezeichen
fleischatlas,236,unamed,fleischatlas
klimaundcorona,236,FFF DE,klima
heiligabend,236,unamed,heiligabend
alleyesoneu,236,unamed,alleyesoneu
lockdownlight,236,unamed,lockdownlight
rollyph,236,unamed,rollyph
weltstatistiktag,236,unamed,weltstatistiktag
gapgate,236,unamed,gapgate
echtkuhl,236,unamed,echtkuhl
sonstkommich,236,unamed,sonstkommich
wevsclimatecrisis,236,#FridayForFuture,climatecrisis
zukunftskomission,236,unamed,zukunftskomission
keineminuteafd,236,German politics,afd
tagderjugend,236,unamed,tagderjugend
hitzewelle,236,unamed,hitzewelle
chinafloods,236,unamed,chinafloods
nonazis,236,unamed,nonazis
ratspräsidentschaft,235,unamed,ratspräsidentschaft
stillburning,235,unamed,stillburning
pcd11,235,unamed,pcd11
leopoldina,235,unamed,leopoldina
kommunalwahlbayern,235,unamed,kommunalwahlbayern
nichtmituns,235,unamed,nichtmituns
klöckner,235,unamed,klöckner
 datteln4,234,FFF DE,datteln4
dorfkinder,234,unamed,dorfkinder
wirhabenessatt,234,unamed,wirhabenessatt
hambacherforsts,234,unamed,hambacherforsts
ambiente,234,unamed,ambiente
twiff,233,unamed,twiff
klimadebatte,233,FFF DE,klima
langstreckenluisa,233,unamed,langstreckenluisa
scholzshow,232,unamed,scholzshow
tagderdeutscheneinheit,232,unamed,tagderdeutscheneinheit
temperaturrekord,231,unamed,temperaturrekord
bonnconference,231,unamed,bonnconference
earthhour,230,unamed,earthhour
klimaabkommen,230,FFF DE,klima
nrwgenugverwüstet,230,unamed,nrwgenugverwüstet
öpnv,229,unamed,öpnv
deforestation,229,unamed,deforestation
heatwaves,228,unamed,heatwaves
buildbackbetter,227,unamed,buildbackbetter
weihnachtenundklimakrise,227,FFF DE,klimakrise
russland,227,unamed,russland
climateeducation,226,#FridayForFuture,climate
madrid,226,unamed,madrid
tellthetruth,226,unamed,tellthetruth
klimafrage,226,FFF DE,klima
greenpeace,225,unamed,greenpeace
okboomer,225,unamed,okboomer
methane,224,unamed,methane
standwithukraine️,224,unamed,standwithukraine️
 howdareyou,224,unamed, howdareyou
1jahrnurblockiert,224,unamed,1jahrnurblockiert
 unitebehindthescience,223,unamed, unitebehindthescience
nomoreemptysummits,222,unamed,nomoreemptysummits
klimaneutral,222,FFF DE,klima
 withdrawthecap,221,unamed, withdrawthecap
klimatstrejk,221,FFF DE,klima
türkei,221,unamed,türkei
climatecriminals,220,#FridayForFuture,climate
 sokofuture,220,unamed, sokofuture
emergency,219,unamed,emergency
 wirbildenzukunft,219,unamed, wirbildenzukunft
 ac2106,219,unamed, ac2106
finland,218,unamed,finland
youtube,218,unamed,youtube
 2020werdenwir,218,unamed, 2020werdenwir
 ffffordert,218,#FridayForFuture,fff
nuhr,218,unamed,nuhr
humanity,217,unamed,humanity
lanz,216,unamed,lanz
 berlinblockieren,216,FFF DE,berlin
bureg,215,unamed,bureg
 btw21,214,unamed, btw21
youthstrike4climate,214,#FridayForFuture,climate
 covid19,213,Covid,covid19
autofrei,213,unamed,autofrei
 keinkonsens,213,unamed, keinkonsens
dürre,213,unamed,dürre
klimaschutzpaket,213,FFF DE,klimaschutz
 kohlekommission,211,unamed, kohlekommission
tesla,211,unamed,tesla
berlin4future,211,FFF DE,berlin
solarenergie,211,unamed,solarenergie
 fakenews,211,unamed, fakenews
europe,210,unamed,europe
decarbonization,210,unamed,decarbonization
video,210,unamed,video
 australiaonfire,209,unamed, australiaonfire
bverfg,209,unamed,bverfg
forests,209,unamed,forests
 kohleausstieg,207,FFF DE,kohleausstieg
eeg,207,unamed,eeg
garzweiler,207,unamed,garzweiler
hitzesommer,207,unamed,hitzesommer
 cop26glasgow,206,Agreement,cop26
 savethano,206,unamed, savethano
umweltschutz,205,unamed,umweltschutz
 dannenröderwald,205,unamed, dannenröderwald
xr,205,unamed,xr
